File Name,admin_2023-12-19 11-10-36_BR007856_23-12-19 ARWV-1 plate 2.pcrd,,,,,,,,,,,,,,,,,
Created By User,admin,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Run Started,12/19/2023 10:11:11 UTC,,,,,,,,,,,,,,,,,
Run Ended,12/19/2023 11:45:46 UTC,,,,,,,,,,,,,,,,,
Sample Vol,10,,,,,,,,,,,,,,,,,
Lid Temp,105,,,,,,,,,,,,,,,,,
Protocol File Name,23-03-02 58-20-40 -- PROTOCOL.prcl,,,,,,,,,,,,,,,,,
Plate Setup File Name,23-12-19 ARWV-1 plate 2.pltd,,,,,,,,,,,,,,,,,
Base Serial Number,BR007856,,,,,,,,,,,,,,,,,
Optical Head Serial Number,788BR07489,,,,,,,,,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well group,All Wells,,,,,,,,,,,,,,,,,
Amplification step,4,,,,,,,,,,,,,,,,,
Melt step,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Fluor,Target,Content,Replicate,Sample,Biological Set Name,Well Note,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Call,End RFU
A01,SYBR,ARWV1-3505:3506,Unkn,,2287,,,39.0344337306735,NaN,39.0344337306735,0,0,None,None,None,None,,128.60051346851
A02,SYBR,ARWV1-3505:3506,Unkn,,2297,,,33.3582858829238,NaN,33.3582858829238,0,0,81,358.680011391075,76.5,86,(+) Positive,859.760068751318
A03,SYBR,ARWV1-3505:3506,Unkn,,2307,,,37.6201721521204,NaN,37.6201721521204,0,0,None,None,None,None,,301.257853293104
A04,SYBR,ARWV1-3505:3506,Unkn,,2375,,,38.7500152505148,NaN,38.7500152505148,0,0,None,None,None,None,,140.210597149639
A05,SYBR,ARWV1-3505:3506,Unkn,,2383,,,NaN,NaN,0,0,0,None,None,None,None,,0.79430387146258
A06,SYBR,ARWV1-3505:3506,Unkn,,2391,,,37.8020656945072,NaN,37.8020656945072,0,0,74.5,136.89732408683,67.5,84.5,,221.238961061132
